[2026-07-22 00:10:17] [INFO] Beledci sistemi modulu yuklendi.
[2026-07-22 00:10:17] [INFO] SQLite yaddas bazasi ugurla yoxlanildi/yaradildi.
[2026-07-22 00:10:17] [INFO] Bazaya yazildi: 'beledci/beledci.log'
[2026-07-22 00:10:19] [INFO] CANLI BELEDCI SERVERI ISLEDIR: http://localhost:8090
[2026-07-22 00:21:08] [INFO] Bazaya yazildi: 'README.md'
[2026-07-22 00:26:52] [INFO] beledci_generator.py yenilendi! Server avtomatik restart olunur...
[2026-07-22 00:26:52] [INFO] Beledci Maksimal AI Analizator Mühərriki başladıldı.
[2026-07-22 00:26:52] [INFO] SQLite file_analysis bazasi ugurla hazirlandi.
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'README.md'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'config.json'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'index.html'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'masterdeploy_remote_84.db'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'mezuniyyet-rust-taurisiz-olan.code-workspace'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'test_release.json'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'admin-sistemi/add-defender-exclusion.ps1'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'admin-sistemi/custom_api.txt'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'admin-sistemi/eslint.config.js'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'admin-sistemi/generate_print_designs.cjs'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'admin-sistemi/icon.png'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'admin-sistemi/index.html'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'admin-sistemi/package-lock.json'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'admin-sistemi/package.json'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'admin-sistemi/run_admin.py'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'admin-sistemi/start_dev.bat'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'admin-sistemi/vite.config.js'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'admin-sistemi/src/App.jsx'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'admin-sistemi/src/index.css'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'admin-sistemi/src/main.jsx'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'admin-sistemi/src/components/AnimatedLoader.css'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'admin-sistemi/src/components/AnimatedLoader.css.map'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'admin-sistemi/src/components/AnimatedLoader.jsx'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'admin-sistemi/src/components/CreepyButton.css'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'admin-sistemi/src/components/CreepyButton.jsx'
[2026-07-22 00:26:52] [INFO] Maksimal AI Analiz Bazaya Yazildi: 'admin-sistemi/src/components/DebugConsole.jsx'
